C	net/minecraft/block/Block	afh
C	net/minecraft/block/Block$1	afh$1
C	net/minecraft/block/Block$2	afh$2
C	net/minecraft/block/Block$3	afh$3
C	net/minecraft/block/Block$4	afh$4
C	net/minecraft/block/Block$EnumOffsetType	afh$a
C	net/minecraft/block/Block$SoundType	afh$b
C	net/minecraft/block/BlockAir	aey
C	net/minecraft/block/BlockAnvil	aez
C	net/minecraft/block/BlockAnvil$Anvil	aez$a
C	net/minecraft/block/BlockBanner	afa
C	net/minecraft/block/BlockBanner$1	afa$1
C	net/minecraft/block/BlockBanner$BlockBannerHanging	afa$b
C	net/minecraft/block/BlockBanner$BlockBannerStanding	afa$a
C	net/minecraft/block/BlockBarrier	afb
C	net/minecraft/block/BlockBasePressurePlate	afd
C	net/minecraft/block/BlockBeacon	aff
C	net/minecraft/block/BlockBeacon$1	aff$1
C	net/minecraft/block/BlockBeacon$1$1	aff$1$1
C	net/minecraft/block/BlockBed	afg
C	net/minecraft/block/BlockBed$EnumPartType	afg$a
C	net/minecraft/block/BlockBookshelf	afk
C	net/minecraft/block/BlockBreakable	ahj
C	net/minecraft/block/BlockBrewingStand	afl
C	net/minecraft/block/BlockBush	afm
C	net/minecraft/block/BlockButton	afn
C	net/minecraft/block/BlockButton$1	afn$1
C	net/minecraft/block/BlockButtonStone	aka
C	net/minecraft/block/BlockButtonWood	akq
C	net/minecraft/block/BlockCactus	afo
C	net/minecraft/block/BlockCake	afp
C	net/minecraft/block/BlockCarpet	aks
C	net/minecraft/block/BlockCarrot	afq
C	net/minecraft/block/BlockCauldron	afr
C	net/minecraft/block/BlockChest	afs
C	net/minecraft/block/BlockClay	aft
C	net/minecraft/block/BlockCocoa	afu
C	net/minecraft/block/BlockCocoa$1	afu$1
C	net/minecraft/block/BlockColored	afv
C	net/minecraft/block/BlockCommandBlock	afw
C	net/minecraft/block/BlockCompressedPowered	air
C	net/minecraft/block/BlockContainer	afc
C	net/minecraft/block/BlockCrops	afz
C	net/minecraft/block/BlockDaylightDetector	aga
C	net/minecraft/block/BlockDeadBush	agb
C	net/minecraft/block/BlockDirectional	age
C	net/minecraft/block/BlockDirt	agf
C	net/minecraft/block/BlockDirt$DirtType	agf$a
C	net/minecraft/block/BlockDispenser	agg
C	net/minecraft/block/BlockDoor	agh
C	net/minecraft/block/BlockDoor$EnumDoorHalf	agh$a
C	net/minecraft/block/BlockDoor$EnumHingePosition	agh$b
C	net/minecraft/block/BlockDoublePlant	agi
C	net/minecraft/block/BlockDoublePlant$EnumBlockHalf	agi$a
C	net/minecraft/block/BlockDoublePlant$EnumPlantType	agi$b
C	net/minecraft/block/BlockDoubleStoneSlab	agz
C	net/minecraft/block/BlockDoubleStoneSlabNew	agy
C	net/minecraft/block/BlockDoubleWoodSlab	aha
C	net/minecraft/block/BlockDragonEgg	agj
C	net/minecraft/block/BlockDropper	agk
C	net/minecraft/block/BlockDynamicLiquid	agl
C	net/minecraft/block/BlockEnchantmentTable	agm
C	net/minecraft/block/BlockEndPortal	agn
C	net/minecraft/block/BlockEndPortalFrame	ago
C	net/minecraft/block/BlockEnderChest	agp
C	net/minecraft/block/BlockEventData	ade
C	net/minecraft/block/BlockFalling	agr
C	net/minecraft/block/BlockFarmland	ags
C	net/minecraft/block/BlockFarmland$1	ags$1
C	net/minecraft/block/BlockFence	agt
C	net/minecraft/block/BlockFenceGate	agu
C	net/minecraft/block/BlockFire	agv
C	net/minecraft/block/BlockFlower	agw
C	net/minecraft/block/BlockFlower$1	agw$1
C	net/minecraft/block/BlockFlower$EnumFlowerColor	agw$b
C	net/minecraft/block/BlockFlower$EnumFlowerType	agw$a
C	net/minecraft/block/BlockFlower$EnumFlowerType$1	agw$a$1
C	net/minecraft/block/BlockFlowerPot	agx
C	net/minecraft/block/BlockFlowerPot$1	agx$1
C	net/minecraft/block/BlockFlowerPot$EnumFlowerType	agx$a
C	net/minecraft/block/BlockFurnace	ahb
C	net/minecraft/block/BlockFurnace$1	ahb$1
C	net/minecraft/block/BlockGlass	ahc
C	net/minecraft/block/BlockGlowstone	ahd
C	net/minecraft/block/BlockGrass	ahe
C	net/minecraft/block/BlockGravel	ahf
C	net/minecraft/block/BlockHalfStoneSlab	ahi
C	net/minecraft/block/BlockHalfStoneSlabNew	ahg
C	net/minecraft/block/BlockHalfWoodSlab	ahk
C	net/minecraft/block/BlockHardenedClay	ahl
C	net/minecraft/block/BlockHay	ahm
C	net/minecraft/block/BlockHopper	ahn
C	net/minecraft/block/BlockHopper$1	ahn$1
C	net/minecraft/block/BlockHugeMushroom	aho
C	net/minecraft/block/BlockHugeMushroom$1	aho$1
C	net/minecraft/block/BlockHugeMushroom$EnumType	aho$a
C	net/minecraft/block/BlockIce	ahp
C	net/minecraft/block/BlockJukebox	ahq
C	net/minecraft/block/BlockJukebox$TileEntityJukebox	ahq$a
C	net/minecraft/block/BlockLadder	ahr
C	net/minecraft/block/BlockLadder$1	ahr$1
C	net/minecraft/block/BlockLeaves	ahs
C	net/minecraft/block/BlockLeavesBase	akg
C	net/minecraft/block/BlockLever	ahu
C	net/minecraft/block/BlockLever$1	ahu$1
C	net/minecraft/block/BlockLever$EnumOrientation	ahu$a
C	net/minecraft/block/BlockLilyPad	akn
C	net/minecraft/block/BlockLiquid	ahv
C	net/minecraft/block/BlockLog	ahw
C	net/minecraft/block/BlockLog$1	ahw$1
C	net/minecraft/block/BlockLog$EnumAxis	ahw$a
C	net/minecraft/block/BlockMelon	ahx
