M	net/minecraft/block/Block	func_149634_a	(Lnet/minecraft/item/Item;)Lnet/minecraft/block/Block;	getBlockFromItem
M	net/minecraft/block/Block	func_149635_D	()I	getBlockColor
M	net/minecraft/block/Block	func_149637_q	()Z	isBlockNormalCube
M	net/minecraft/block/Block	func_149638_a	(Lnet/minecraft/entity/Entity;)F	getExplosionResistance
M	net/minecraft/block/Block	func_149645_b	()I	getRenderType
M	net/minecraft/block/Block	func_149647_a	(Lnet/minecraft/creativetab/CreativeTabs;)Lnet/minecraft/block/Block;	setCreativeTab
M	net/minecraft/block/Block	func_149648_K	()Z	isFlowerPot
M	net/minecraft/block/Block	func_149649_H	()Lnet/minecraft/block/Block;	disableStats
M	net/minecraft/block/Block	func_149652_G	()Z	getEnableStats
M	net/minecraft/block/Block	func_149653_t	()Z	getTickRandomly
M	net/minecraft/block/Block	func_149654_a	(Lnet/minecraft/util/Vec3;)Z	isVecInsideYZBounds
M	net/minecraft/block/Block	func_149656_h	()I	getMobilityFlag
M	net/minecraft/block/Block	func_149659_a	(Lnet/minecraft/world/Explosion;)Z	canDropFromExplosion
M	net/minecraft/block/Block	func_149661_c	(Lnet/minecraft/util/Vec3;)Z	isVecInsideXYBounds
M	net/minecraft/block/Block	func_149662_c	()Z	isOpaqueCube
M	net/minecraft/block/Block	func_149663_c	(Ljava/lang/String;)Lnet/minecraft/block/Block;	setUnlocalizedName
M	net/minecraft/block/Block	func_149665_z	()D	getBlockBoundsMinY
M	net/minecraft/block/Block	func_149666_a	(Lnet/minecraft/item/Item;Lnet/minecraft/creativetab/CreativeTabs;Ljava/util/List;)V	getSubBlocks
M	net/minecraft/block/Block	func_149667_c	(Lnet/minecraft/block/Block;)Z	isAssociatedBlock
M	net/minecraft/block/Block	func_149669_A	()D	getBlockBoundsMaxY
M	net/minecraft/block/Block	func_149671_p	()V	registerBlocks
M	net/minecraft/block/Block	func_149672_a	(Lnet/minecraft/block/Block$SoundType;)Lnet/minecraft/block/Block;	setStepSound
M	net/minecraft/block/Block	func_149675_a	(Z)Lnet/minecraft/block/Block;	setTickRandomly
M	net/minecraft/block/Block	func_149676_a	(FFFFFF)V	setBlockBounds
M	net/minecraft/block/Block	func_149679_a	(ILjava/util/Random;)I	quantityDroppedWithBonus
M	net/minecraft/block/Block	func_149680_a	(Lnet/minecraft/block/Block;Lnet/minecraft/block/Block;)Z	isEqualTo
M	net/minecraft/block/Block	func_149682_b	(Lnet/minecraft/block/Block;)I	getIdFromBlock
M	net/minecraft/block/Block	func_149683_g	()V	setBlockBoundsForItemRender
M	net/minecraft/block/Block	func_149684_b	(Ljava/lang/String;)Lnet/minecraft/block/Block;	getBlockFromName
M	net/minecraft/block/Block	func_149685_I	()F	getAmbientOcclusionLightValue
M	net/minecraft/block/Block	func_149686_d	()Z	isFullCube
M	net/minecraft/block/Block	func_149687_b	(Lnet/minecraft/util/Vec3;)Z	isVecInsideXZBounds
M	net/minecraft/block/Block	func_149688_o	()Lnet/minecraft/block/material/Material;	getMaterial
M	net/minecraft/block/Block	func_149693_C	()D	getBlockBoundsMaxZ
M	net/minecraft/block/Block	func_149698_L	()Z	requiresUpdates
M	net/minecraft/block/Block	func_149700_E	()Z	canSilkHarvest
M	net/minecraft/block/Block	func_149703_v	()Z	isCollidable
M	net/minecraft/block/Block	func_149704_x	()D	getBlockBoundsMinX
M	net/minecraft/block/Block	func_149706_B	()D	getBlockBoundsMinZ
M	net/minecraft/block/Block	func_149708_J	()Lnet/minecraft/creativetab/CreativeTabs;	getCreativeTabToDisplayOn
M	net/minecraft/block/Block	func_149710_n	()Z	getUseNeighborBrightness
M	net/minecraft/block/Block	func_149711_c	(F)Lnet/minecraft/block/Block;	setHardness
M	net/minecraft/block/Block	func_149713_g	(I)Lnet/minecraft/block/Block;	setLightOpacity
M	net/minecraft/block/Block	func_149715_a	(F)Lnet/minecraft/block/Block;	setLightLevel
M	net/minecraft/block/Block	func_149716_u	()Z	hasTileEntity
M	net/minecraft/block/Block	func_149717_k	()I	getLightOpacity
M	net/minecraft/block/Block	func_149721_r	()Z	isNormalCube
M	net/minecraft/block/Block	func_149722_s	()Lnet/minecraft/block/Block;	setBlockUnbreakable
M	net/minecraft/block/Block	func_149729_e	(I)Lnet/minecraft/block/Block;	getBlockById
M	net/minecraft/block/Block	func_149730_j	()Z	isFullBlock
M	net/minecraft/block/Block	func_149732_F	()Ljava/lang/String;	getLocalizedName
M	net/minecraft/block/Block	func_149738_a	(Lnet/minecraft/world/World;)I	tickRate
M	net/minecraft/block/Block	func_149739_a	()Ljava/lang/String;	getUnlocalizedName
M	net/minecraft/block/Block	func_149740_M	()Z	hasComparatorInputOverride
M	net/minecraft/block/Block	func_149744_f	()Z	canProvidePower
M	net/minecraft/block/Block	func_149745_a	(Ljava/util/Random;)I	quantityDropped
M	net/minecraft/block/Block	func_149750_m	()I	getLightValue
M	net/minecraft/block/Block	func_149751_l	()Z	isTranslucent
M	net/minecraft/block/Block	func_149752_b	(F)Lnet/minecraft/block/Block;	setResistance
M	net/minecraft/block/Block	func_149753_y	()D	getBlockBoundsMaxX
M	net/minecraft/block/Block	func_176193_a	(Lnet/minecraft/world/World;Lnet/minecraft/util/BlockPos;Lnet/minecraft/util/EnumFacing;Lnet/minecraft/item/ItemStack;)Z	canReplace
M	net/minecraft/block/Block	func_176194_O	()Lnet/minecraft/block/state/BlockState;	getBlockState
M	net/minecraft/block/Block	func_176195_g	(Lnet/minecraft/world/World;Lnet/minecraft/util/BlockPos;)F	getBlockHardness
M	net/minecraft/block/Block	func_176196_c	(Lnet/minecraft/world/World;Lnet/minecraft/util/BlockPos;)Z	canPlaceBlockAt
M	net/minecraft/block/Block	func_176197_a	(Lnet/minecraft/world/World;Lnet/minecraft/util/BlockPos;Lnet/minecraft/entity/Entity;Lnet/minecraft/util/Vec3;)Lnet/minecraft/util/Vec3;	modifyAcceleration
